site_no,cluster,latitude,longitude,action_aep,flood_aep,moderate_aep,major_aep
01011000,1,47.0697222,-69.0794444,0.027683440952443465,0.004145271084614505,0.004145271084614505,0.004145271084614505
01013500,1,47.2375,-68.58277778,0.08348010117474154,0.04635395455282503,0.013310330390237173,0.006879997141489054
01015800,1,46.52305556,-68.3716667,0.17677025182311856,0.03651192981324288,0.00939273861172526,0.026414782052741972
01017000,1,46.7772222,-68.1572222,0.068466776020978,0.01240783745378035,0.014934910981969965,0.014934910981969965
01029200,1,46.14305556,-68.6336111,0.7172046909616052,0.361090957888606,0.015882321803462596,0.005144294917319898
01030500,1,45.5011111,-68.3058333,0.606270913974465,0.4790007376047828,0.0842474578762833,0.021527383487659778
01031300,1,45.2672222,-69.58388889,0.6419078903422166,0.19740522189051987,0.013945234828719113,0.00923177594236252
01031500,1,45.175,-69.3147222,0.6118751656132985,0.310701573395462,0.08594314182957585,0.013209561635731934
01034000,1,45.26055556,-68.8686111,0.15995639123235258,0.09133406932671546,0.015656754828790337,0.015656754828790337
01038000,1,44.22277778,-69.59388889,0.4444915350368903,0.14425193522408392,0.09830147736928646,0.046509279133079874
01047000,1,44.86916667,-69.955,0.4185048389751887,0.2520332639975057,0.10042100327636339,0.024018569745197164
01047200,1,44.85777778,-70.48527778,0.815389542848582,0.35514216518208425,0.24011921445610337,0.09924868239888907
01048000,1,44.70805556,-69.9375,0.9157553476838828,0.5148834579627822,0.06605675720715698,0.02115158172114
01054300,1,44.5933333,-70.7330556,0.96317258191859,0.6896605686985345,0.172282581791866,0.059316130640310896
01055000,1,44.64277778,-70.58888889,0.9739294004240049,0.5732648986529775,0.29519692602648806,0.052587261473552374
01064500,1,43.9908333,-71.0905556,0.9781276913164831,0.7447247252327903,0.17535681228769112,0.023270520280482224
01066000,1,43.80805556,-70.7816667,0.47642070555026633,0.11193809093056921,0.05582443684029403,0.0348652911344338
01075000,1,43.9761792,-71.6795244,0.9970397594165564,0.6792694646075302,0.0980491783420251,0.014531662558435788
01076000,1,43.79562647,-71.8453594,0.500132869627369,0.29375835490159663,0.1357224484742063,0.08332376315099983
01076500,1,43.7592388,-71.6856337,0.9032495909892329,0.6690736670436744,0.21782085757798428,0.08758387368457335
01077400,1,43.70388889,-71.8333333,0.4134602184958344,0.26790065760021475,0.2121266165107153,0.029999598644596816
01078000,1,43.56646307,-71.747857,0.7508377123803445,0.22995713760390202,0.01612536318010537,0.004986876152503104
01082000,1,42.8625837,-71.95924609,0.7954035716950274,0.13810764157899078,0.0117795332049527,0.0021558783875081943
01086000,1,43.25091159,-71.7322996,0.9997118152832858,0.44309209961741547,0.05250353695122317,0.0051286146414646575
01094400,1,42.57620079,-71.7881285,0.9850143190662184,0.4977529746669786,0.06690225859579373,0.013795089637759977
01096000,1,42.63425619,-71.6578479,0.4854823278966053,0.16153854442826973,0.0180291713988693,0.009706942581829154
01105583,1,42.2208065,-70.9780711,0.4802049082147954,0.14254091610523206,0.003976335151022377,0.003976335151022377
01105600,1,42.1903779,-70.9447679,0.8776289178818677,0.5777401210949513,0.054315592252436234,0.024840194492132605
01121000,1,41.84359288,-72.16894625,0.5941113616423574,0.3178931205153935,0.13239041070984323,0.011979166537813895
01127500,1,41.55859526,-72.1214469,0.596235638796598,0.3108981338215054,0.24119307642416887,0.12021355402684247
