site_no,cluster,latitude,longitude,lp3_scale,lp3_skew
06355500,2,45.80222,-102.3623795,3.8333283593201233,-0.8735423037115128
06356500,2,45.6486883,-102.6433259,0.4664592794571257,0.1664513357115745
06359500,2,45.19775826,-102.1565472,0.4995394198682043,-0.23344845051353108
06360500,2,45.2558171,-100.8429214,0.47906122726822226,-0.6445734980272051
06395000,2,43.3055286,-103.8210312,0.4715355116002233,-0.3661457612448173
06400000,2,43.2399736,-103.5882519,0.7590118940936275,-0.4505686681301302
06400875,2,43.18803166,-103.2265866,1.5399658935194833,-0.7318661138594353
06402000,2,43.43053476,-103.4763069,1.5722546609955985,0.31716887517070896
06402500,5,43.4666495,-103.3060308,0.6574014762733551,0.9293313780864734
06404000,5,43.87164727,-103.3363029,0.666180402853322,0.2536093403056291
06404998,2,43.76110028,-103.3640816,0.6322460129142926,-0.0779496552516291
06406000,2,43.82804586,-103.1960211,0.765670848266342,-0.020762454963959107
06406500,2,43.72543145,-102.9061231,0.694100156695856,-0.14716541738460617
06407500,5,43.97871038,-103.3460469,0.5407479084888759,0.3820774791134483
06409000,5,44.01359238,-103.8304784,0.3749771136691047,1.0168932101118422
06411500,5,44.07665378,-103.482134,0.853559544222249,0.46950636662453266
06422500,5,44.1443339,-103.4545385,0.6148283073750387,0.9508987555975855
06423010,2,44.131654,-103.2987949,1.0375622003626845,-1.0750124642585368
06423500,2,44.08109849,-102.4012746,1.3111965898060811,-0.019498711262152957
06425500,2,44.24831768,-102.5032217,0.9439762544249037,-1.0140303037825453
06426500,5,44.32188385,-104.9406108,0.42978175378046707,-0.1152196329153928
06430500,5,44.5718625,-104.0536449,0.5219195642661183,0.27712198332304894
06430800,5,44.32749778,-103.894532,0.5139364542724061,0.06935296445571852
06430850,5,44.3496865,-103.9359118,0.24133611909406288,1.2856593499834703
06433000,5,44.66720665,-103.8393696,0.4659925860082387,0.7406419719341
06437020,5,44.3355403,-103.6354716,0.45204776767267574,0.25675397665861355
06439000,2,44.74304495,-102.0534948,0.6306145149659608,-0.8717281563456662
06440200,3,43.9690175,-101.767229,0.5225005119825946,0.41459728694887343
06441000,2,44.0672095,-101.1608623,0.5529521872338166,-0.5554247369897649
06441500,2,44.32662738,-100.3843468,0.4325442986980156,-0.6455337272531719
06445685,2,43.013036,-102.8357327,0.49223683896775694,-0.25594151662119907
06446000,2,43.25484357,-102.8273511,0.41816808976798725,-0.32155272197694723
06446500,2,43.69388346,-101.9326516,0.28618170149922295,-0.5970644641474873
06446700,3,43.53666558,-101.7985923,0.3697158812428028,0.6023471964178859
06447000,2,43.7524949,-101.5248665,0.24878436881723845,-0.34466638316367065
06447500,3,43.1669155,-101.6327322,0.3744354471105702,0.4939907870248109
06449100,3,43.10069918,-101.232234,0.34081871589451285,1.0929767218325444
06449500,3,43.3255586,-100.8837556,0.3382012374037149,0.8334448508431375
06450500,3,43.60138549,-100.7498608,0.3896479318285961,0.45424312623739643
06452000,3,43.74832745,-99.5564948,0.3092285610067078,0.0320804857126606
06452320,3,43.3272192,-98.9706446,0.734362966104404,0.22358421429578607
06453600,2,42.81086111,-98.17539722,0.5330000651112278,-0.477747542704404
06463500,3,42.68963611,-99.67944722,0.34655739699059646,0.5689311735425382
06464500,3,43.0270872,-99.780921,0.376520009936231,0.0707205722316264
06466400,3,42.61573056,-97.87807222,0.42560206453937477,0.11231639446909411
06466500,3,42.73210833,-97.92254722,0.5436772137587943,0.01499800886442343
06468170,2,47.5580525,-98.862885,0.7821518212340385,-1.0079356790585263
06468250,2,47.3997189,-98.7976057,0.778738036828143,-0.7580358442057141
06469400,2,47.1674635,-98.9690423,0.7499659346580615,-1.3715696105832778
06470000,2,46.8897222,-98.6816667,2.4556172867514103,-0.5184845842969228
06471200,2,45.93886156,-98.4526004,0.690277196576847,-0.3867460945791122
06471500,2,45.6560866,-98.4970402,0.7680271176259252,-0.38320047661327017
06471800,2,45.51919906,-98.577541,1.062043992074392,0.2256899085379413
06472000,2,45.24163936,-98.3914819,0.6048499305571674,-0.46672307539884444
06473000,2,44.99830768,-98.480927,0.5320970158159619,-0.28457448633140703
06475000,2,44.91053097,-98.4720386,0.5653564348164117,-0.3217942870328805
06477000,2,43.9738721,-98.070916,0.5739530664764272,-0.1344056640682962
06477500,2,43.77640219,-98.2456658,1.0141134263317655,-0.9302042982584624
06478600,2,43.445278,-97.109444,0.4795136646329337,-0.6926282403520257
06478690,2,43.415639,-97.204861,0.6569331911447815,-0.565699172158655
06479010,3,42.8172187,-96.9242106,0.45942723635215066,0.3085919119005619
06479215,2,45.18079549,-97.1861904,0.56555370812768,-0.3240800878737659
06479438,2,45.0060753,-97.1650756,0.5766215047442713,-0.5625260623214213
06479500,2,44.94246436,-97.1461856,0.6347248348723891,-0.939114632062021
06479525,2,44.7315478,-97.0446518,0.3619447040875449,-0.18246233047066054
06479770,2,44.4675224,-96.8874204,0.31005009108677273,-0.17885811633968954
06480000,2,44.1802473,-96.749496,0.4857511012550399,-0.23158051772723834
06481000,2,43.79044595,-96.7456623,0.4564697104129203,-0.2921725805502926
06481480,3,43.8481959,-96.8368313,0.487566225897439,0.09703672698753057
06481500,2,43.53358676,-96.7908849,0.5412656619856865,-0.3209145448441665
06482610,3,43.61636576,-96.56532366,0.48823594645017887,-0.041082189794349716
06483290,3,43.42313889,-96.1649167,0.49161803211715355,0.27396423054405505
06483500,2,43.2150833,-96.2950278,0.507213657151564,-0.17395741930619557
06485500,3,42.8375091,-96.5619306,0.44669906063993225,-0.007146685903328997
06600100,3,42.98280556,-96.0003333,0.5828001818960868,0.06467092067058423
06600900,1,42.14819167,-96.48358056,0.6967077623819891,-1.2679889501074046
06601000,1,42.32140833,-96.48793056,0.4971404858454115,-0.3311306025954574
06605000,3,43.12766667,-95.2104444,0.4219664379700673,0.0045927469969149195
06605850,3,42.89630556,-95.243,0.3863002436878418,0.11919272778375728
06608500,1,41.8305833,-95.93225,0.3971743193369615,-0.655989268107641
06623800,2,41.02356508,-106.8248049,0.1534587988570107,-0.34890424799501324
06634620,2,41.96105917,-106.2092391,2.98922785266675,-1.7260368655175973
06709000,3,39.43831639,-104.98306724,0.40108395981179573,0.2293924507837866
06712000,3,39.3558234,-104.7633092,0.6005859324318202,-0.03817878012071055
06714800,2,39.68720955,-105.7002821,0.21667603581382583,-0.6007765723023476
