site_no,cluster,latitude,longitude,lp3_scale,lp3_skew
01011000,3,47.0697222,-69.0794444,0.15931024044869177,-0.10766741387402354
01013500,3,47.2375,-68.58277778,0.13716960310284632,-0.3414864274221581
01015800,3,46.52305556,-68.3716667,0.15306860533591196,-0.648434772405389
01017000,3,46.7772222,-68.1572222,0.1460142421895247,-0.4485371318379706
01017290,3,46.8886111,-67.945,0.13604262090584815,0.18366255618211
01017550,3,46.62805556,-67.9530556,0.1852859564065876,0.2793580303152781
01017960,3,46.105,-67.88138889,0.14155663294278698,0.7129050436952974
01018009,3,46.11527778,-67.84027778,0.2049378476552403,0.1285332439206113
01021480,3,44.9369444,-67.7361111,0.17016711427120948,0.767863143000129
01029200,3,46.14305556,-68.6336111,0.13098875886727837,0.7594919443119023
01030500,3,45.5011111,-68.3058333,0.13059345582349957,-0.08209831039041272
01031300,3,45.2672222,-69.58388889,0.19817704189134605,-0.15230245315438945
01031450,3,45.1844444,-69.4522222,0.23583716236822447,-0.2214324755413847
01031500,3,45.175,-69.3147222,0.20780841219965132,-0.037767128213213
01034000,3,45.26055556,-68.8686111,0.19368809683306065,0.05828183975478599
01038000,3,44.22277778,-69.59388889,0.1878646213884228,0.6146695165225879
01047000,3,44.86916667,-69.955,0.22312578827750135,-0.13740196666456878
01047200,3,44.85777778,-70.48527778,0.2988424697703522,0.700635831281323
01048000,3,44.70805556,-69.9375,0.2130253904902891,-0.18119684369941175
01054300,3,44.5933333,-70.7330556,0.20087031165778577,0.1814816858701471
01055000,3,44.64277778,-70.58888889,0.24826182837173794,-0.2746673129191728
01060000,3,43.79915,-70.1782694,0.20995536342415352,0.12390078548394183
01064500,3,43.9908333,-71.0905556,0.22615095112952333,-0.1457694900370472
01066000,3,43.80805556,-70.7816667,0.170052066624793,0.034670460690335664
01075000,3,43.9761792,-71.6795244,0.24103611970011546,0.09789976101738458
01076000,3,43.79562647,-71.8453594,0.24980292124685236,0.5733910312327598
01076500,3,43.7592388,-71.6856337,0.17447513793908262,0.09871542156219426
01077400,3,43.70388889,-71.8333333,0.29093575730995963,0.9541380057062547
01078000,3,43.56646307,-71.747857,0.1909505471347553,0.4576813335976098
01082000,3,42.8625837,-71.95924609,0.18409788523361095,0.1602982668239971
01086000,3,43.25091159,-71.7322996,0.18959218682017512,0.2732410767935887
01089500,3,43.25674759,-71.36951248,0.2355891911717352,0.7915220904802674
01091500,3,43.01675,-71.5506252,1.1060127013740726,-0.6534948497174918
01093852,3,42.8425858,-71.7067399,0.22230356289943798,-0.8797152636187445
01094000,3,42.8575865,-71.5061785,0.20453278017229054,0.5736793674344811
01094400,3,42.57620079,-71.7881285,0.17123063378200934,-0.015638892246065385
01096000,3,42.63425619,-71.6578479,0.24212697411781198,0.014849437301324524
01097000,3,42.432038,-71.4497848,0.20061412901722048,0.22854858905823494
01098530,3,42.3253732,-71.3975605,0.5744439149668438,-2.1568536119844017
01099500,3,42.6367581,-71.3020047,0.17007460969097665,-0.16633060619289314
01100600,3,42.5681488,-71.2147792,0.23558644695641254,0.2508634506815366
01100627,3,42.6714806,-71.1492239,0.21813325167251638,0.2277520237304763
01102000,3,42.6598157,-70.8936622,0.24156639382814024,0.13458625635590937
01103280,3,42.1398197,-71.3895032,0.15701579450405972,-0.10992282768951404
01103500,3,42.256209,-71.2600558,0.1724005239119774,0.31505140568274703
01104500,3,42.37231857,-71.2336668,0.18575667055945996,0.3245229690322821
01105000,3,42.1775987,-71.2008863,0.19270919913541468,0.443529694368442
01105583,3,42.2208065,-70.9780711,0.20084547716160342,0.7092175261917512
01105600,3,42.1903779,-70.9447679,0.25393756435458703,0.07488375238683284
01105730,3,42.100529,-70.8225115,0.17324215190500514,-0.00036363071753039354
01105870,3,41.99080729,-70.7336207,0.8549812298072533,-1.0663483491494625
01108000,3,41.9339903,-70.9564307,0.12941573334176373,0.08197247800965878
01108410,3,41.89969865,-71.0894663,0.17471199065276038,-0.19584242090467657
01109000,3,41.94760015,-71.1767155,0.18901973836526148,0.2754635722424309
01109070,3,41.840379,-71.142824,0.20760665626179992,-0.1433640009125001
01109403,3,41.83093377,-71.3503315,0.19539462004432742,0.26180342247751726
01111500,3,41.99648716,-71.56200758,0.23451468316572296,0.29416070391530974
01112500,3,42.0064871,-71.5025613,0.2106305876568803,0.45703163315967954
01114500,3,41.8589884,-71.4872823,0.21828759756378385,-0.06502692422381821
01116000,3,41.69010026,-71.5658958,0.24135926539362357,0.6863576396156839
01117500,3,41.44498329,-71.68087799,0.1645271290184586,0.9124991046014403
01118500,3,41.385278,-71.833056,0.15805438849463782,1.0088158368662283
01119500,3,41.75053857,-72.26561677,0.27041137594887205,0.8375765782684123
