feature,gain_fraction
TOT_STREAM_LENGTH,0.352535936664275
TOT_BASIN_AREA,0.1271402537819056
TOT_PPT7100_ANN,0.11104514552016653
TOT_BFI,0.0652050276246526
TOT_WB5100_ANN,0.043587087591907665
TOT_SILTAVE,0.018621540823183215
TOT_RECHG,0.01626469042200641
TOT_ELEV_MIN,0.015355458692133738
TOT_NLCD11_90,0.013824590915226606
TOT_NID_STORAGE2013,0.013130928188836603
TOT_SANDAVE,0.011407066128584767
TOT_HGC,0.009664327558107049
TOT_RH,0.008722440455316323
TOT_NLCD11_21,0.008027685864940582
TOT_NDAMS2013,0.00784260206306153
TOT_NORM_STORAGE2013,0.007760262164834935
TOT_NLCD11_42,0.007256667651860881
TOT_HGD,0.0072238142663978225
TOT_IEOF,0.006960524830591076
TOT_TWI,0.006930639029661059
TOT_NLCD11_95,0.006736242398021403
TOT_NLCD11_71,0.006515187951790854
TOT_NLCD11_11,0.006188932861224238
TOT_NLCD11_82,0.006171405128685128
TOT_BASIN_SLOPE,0.006164222112898817
TOT_PRSNOW,0.005808849492651713
TOT_SATOF,0.005598338375548278
TOT_NLCD11_22,0.00552853719140293
TOT_HGAD,0.005452006247745426
TOT_TMAX7100,0.005295534667545975
TOT_TAV7100_ANN,0.005169054453908024
TOT_PET,0.0049273767867842886
TOT_STRM_DENS,0.004876771999656325
TOT_NLCD11_52,0.004837657666901848
TOT_ELEV_MAX,0.00465725422959084
TOT_NLCD11_24,0.004543531108413925
TOT_TMIN7100,0.00443320420755821
TOT_ELEV_MEAN,0.004251185800201017
TOT_NLCD11_81,0.0041766778482496825
TOT_CLAYAVE,0.004137279583706555
TOT_HGA,0.0040447255639789355
TOT_NLCD11_31,0.00387405808412865
TOT_NLCD11_23,0.0037826597773413873
TOT_STREAM_SLOPE,0.003761100883711753
TOT_HGBD,0.003691940171524647
TOT_NLCD11_41,0.0036787670179479343
TOT_NLCD11_43,0.00339764595111505
TOT_HGB,0.003042964903142292
TOT_CONTACT,0.0024586762219600783
TOT_EWT,0.0020518559110933843
TOT_MAJOR2013,0.001183605043980655
TOT_HGCD,0.0009614810750755626
TOT_NLCD11_12,9.457904486413196e-05
TOT_HGVAR,0.0
TOT_HGBC,0.0
