return_period,n_shared,model_log_r2,baseline_log_r2,model_log_nse,baseline_log_nse
Q2,569.0,0.8301744655077382,0.8874882410865501,0.8301744655077382,0.8874882410865501
Q5,570.0,0.8144509852179851,0.8843527837194853,0.8144509852179851,0.8843527837194853
Q10,570.0,0.7950847155888908,0.8769193334139896,0.7950847155888908,0.8769193334139896
Q25,508.0,0.7733693896691594,0.8732940824389837,0.7733693896691594,0.8732940824389837
Q50,539.0,0.7471171113371314,0.8552841492770311,0.7471171113371314,0.8552841492770311
Q100,551.0,0.7191737752429643,0.8342076837720874,0.7191737752429643,0.8342076837720874
Q200,491.0,0.658866581327702,0.7815227038636219,0.658866581327702,0.7815227038636219
Q500,551.0,0.6411037577341809,0.783293650293039,0.6411037577341809,0.783293650293039
