return_period,n,log_r2,log_nse,log_rmse,log_bias,cfs_kge,cfs_nse
Q2,1443.0,0.8189430856339714,0.8189430856339714,0.23078002032365838,-0.012077049712741515,0.6420916892866255,0.6951962641503912
Q5,1443.0,0.8024591069347373,0.8024591069347373,0.2356822105101835,-0.01612314661983894,0.6537768905272493,0.6782233439048937
Q10,1443.0,0.7870595994636266,0.7870595994636266,0.24417698586534575,-0.01763061436545786,0.6452041967216895,0.6505879157606573
Q25,1443.0,0.7622462023059363,0.7622462023059363,0.259204767236398,-0.01871194694534913,0.6152678877759452,0.5934420406291738
Q50,1443.0,0.7399887080247756,0.7399887080247756,0.273004401548506,-0.018891986689485826,0.5773926669357765,0.5366295394237676
Q100,1443.0,0.714431815309915,0.714431815309915,0.28885472499123654,-0.01937306680851213,0.5277397231424711,0.4703042155233865
Q200,1443.0,0.6867600155971142,0.6867600155971142,0.30607123113242524,-0.01970054999805414,0.4668496190665915,0.399433679217727
Q500,1443.0,0.6474693823873914,0.6474693823873914,0.33066395755143735,-0.01990896785298057,0.3752215278709242,0.30535068316906777
